,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature,main_artist,song_name
69,0.785,0.863,7,-4.599,0,0.0893,0.0883,0.0,0.0929,0.962,130.132,1UMm1Qs3u59Wvk53zBUE8r,156501,3,Fuerza Regida,SABOR FRESA
70,0.557,0.866,6,-4.454,1,0.0503,0.394,0.0,0.11,0.631,167.767,7bPp2NmpmyhLJ7zWazAXMu,209415,4,Peso Pluma,TULUM
71,0.652,0.8,9,-4.019,0,0.0614,0.143,0.629,0.112,0.234,143.978,7ro0hRteUMfnOioTFI5TG1,231704,4,Bad Bunny,WHERE SHE GOES
72,0.527,0.598,1,-4.257,1,0.0283,0.063,0.000153,0.0913,0.23,66.041,5vZoQQ1hH5L2s4Y8G86ksg,200427,3,Thomas Rhett,Angels (Don’t Always Have Wings)
73,0.814,0.618,5,-5.614,0,0.0619,0.0386,3.34e-06,0.671,0.535,121.075,5L3ecxQnQ9qTBmnLQiwf0C,185221,4,Travis Scott,K-POP
74,0.971,0.671,10,-5.26,0,0.154,0.416,0.0,0.128,0.754,119.965,1kwPxt35W7cG3rryxR48PO,192000,4,That Mexican OT,Johnny Dang (with Paul Wall & DRODi)
75,0.808,0.789,7,-5.88,0,0.236,0.0517,0.0,0.0819,0.465,136.01,7qLr3HMApUbyDkUvgIvHnB,185333,4,Young Thug,Oh U Went (feat. Drake)
76,0.447,0.441,0,-7.658,1,0.0456,0.874,4.36e-05,0.188,0.286,122.811,42TtHTxWk782ZBiqyOi2d1,290892,4,Zach Bryan,Dawns (feat. Maggie Rogers)
77,0.435,0.401,0,-7.885,1,0.0434,0.782,0.000676,0.113,0.0911,84.001,2pUYbyOIOSfDfsnCR3KceZ,319196,4,Zach Bryan,Jake's Piano - Long Island
78,0.677,0.404,0,-9.552,1,0.027,0.653,0.0,0.249,0.355,83.087,1rnYNAJPAb586NhetosdNW,240723,3,Jelly Roll,Save Me
79,0.544,0.573,8,-5.694,1,0.0356,0.0958,0.0,0.104,0.233,122.977,0OWhKvvsHptt6vnnNUSM9a,211739,4,Zach Bryan,Oklahoma Smokeshow
80,0.561,0.604,9,-4.409,1,0.0337,0.199,1.9e-05,0.104,0.242,159.92,6usohdchdzW9oML7VC4Uhk,210689,3,Teddy Swims,Lose Control
81,0.533,0.389,0,-8.428,1,0.051,0.85,0.0012,0.104,0.164,76.77,6Otmq7JokHh38wKSqUimcS,187729,3,Zach Bryan,Tradesman
82,0.783,0.768,11,-8.471,0,0.157,0.00198,0.0,0.171,0.267,143.071,3FhZPYvMGSjFc6boVYKlCv,124806,4,DaBaby,SHAKE SUMN
83,0.82,0.66,6,-4.05,0,0.0348,0.201,3.45e-05,0.27,0.765,120.002,0MBRKCgePXewM1iBQiPn7Q,174223,4,Timbaland,Keep Going Up (with Nelly Furtado & Justin Timberlake)
84,0.823,0.388,1,-10.867,1,0.491,0.0187,0.0,0.0876,0.507,154.569,7sliFe6W30tPBPh6dvZsIH,139326,4,Kaliii,Area Codes
85,0.789,0.839,8,-4.24,1,0.0589,0.0321,0.00476,0.108,0.656,98.021,4L4m2mgZDF8KIkJPdWWIAf,159372,4,Burna Boy,Sittin' On Top Of The World
86,0.518,0.557,1,-4.839,1,0.0332,0.0258,2.46e-06,0.156,0.216,111.865,2gT2iF1YK5r54A2PDEXVv8,218160,3,Warren Zeiders,Pretty Little Poison
87,0.635,0.114,4,-12.176,1,0.0522,0.819,6.35e-06,0.0797,0.0998,72.401,4ueTr01dkL360w1knfh21C,249453,1,Zach Bryan,Oklahoman Son
